index,name,caption,township,os_grid,latitude,longitude,altitude,photo_date,image
1,Walls 04,Double walls,Achiltibuie,NC 02643 08397,58.02075,-5.34319,38,2025-09-12,_DSC0104-1.jpg
2,Ruin 36,House east of bend in the road,Achiltibuie,NC 02518 08381,58.02055,-5.34530,30,2025-09-12,_DSC0113-1.jpg
3,Ruin 39,"House south east of Raon Mor, wooden fireplace lintel",Achiltibuie,NC 02543 08429,58.02099,-5.34491,31,2025-09-12,_DSC0118-1.jpg
4,Ruin 38,"Indeterminate shell, by the electricity line east of Raon Mor",Achiltibuie,NC 02568 08508,58.02171,-5.34455,34,2025-09-12,_DSC0125-1.jpg
5,Ruin 40,"House, with enclosure behind (not shown)",Achnahaird,NC 00653 13824,58.06852,-5.38141,36,2025-09-13,_DSC0139-1.jpg
6,Ruin 41,"Building outline, older than most?",Achnahaird,NC 00645 13791,58.06822,-5.38153,37,2025-09-13,_DSC0141-1.jpg
7,Cairns 02,Clearance cairn,Achnahaird,NC 00720 13769,58.06805,-5.38024,35,2025-09-13,_DSC0143-1.jpg
8,Walls 06,Boundary wall,Achnahaird,NC 00821 13813,58.06849,-5.37856,24,2025-09-13,_DSC0145-1.jpg
9,Enclosure 03,Enclosure,Achnahaird,NC 00710 13688,58.06732,-5.38033,35,2025-09-13,_DSC0152-1.jpg
10,Ruin 42,"House (known as old hen house?), concrete lintels, corrugated iron remains, wooden rafter",Achnahaird,NC 00674 13607,58.06658,-5.38087,36,2025-09-13,_DSC0160-1.jpg
11,Ruin 43,Outbuilding? and farm machinery,Achnahaird,NC 00724 13598,58.06652,-5.38002,34,2025-09-13,_DSC0161-1.jpg
12,Ruin 44,"House and attached outbuilding, corrugated iron roof",Achnahaird,NC 00776 13563,58.06623,-5.37911,31,2025-09-13,_DSC0178-1.jpg
13,Ruin 45,Small building,Achnahaird,NC 00760 13529,58.06592,-5.37935,32,2025-09-13,_DSC0182-1.jpg
14,Walls 05,Zig zag wall,Achnahaird,NC 01045 13450,58.06534,-5.37447,18,2025-09-13,_DSC0185-1.jpg
15,Ruin 17,House in row of running between community centre and Polglass,Polglass,NC 03140 07375,58.01194,-5.33389,37,2025-11-04,_DSC0570-1.jpg
16,Enclosure 04,Sheepfold to east of the road,Badenscallie,NC 03836 07092,58.00957,-5.32194,84,2025-11-04,_DSC0576-1.jpg
17,Broch,Broch between ruined house and wall,Achlochan,NC 02898 06945,58.00784,-5.33767,8,2025-11-04,_DSC0597-1.jpg
18,Ruin 29,House,Polglass,NC 03315 07181,58.01014,-5.33083,37,2025-11-04,_DSC0605-1.jpg
19,Ruin 37,Easternmost house in row,Polglass,NC 03199 07312,58.01126,-5.33289,37,2025-11-04,_DSC0616-1.jpg
20,Ruin 46," Row of houses, in the middle, across a little bridge.",Polglass,NC 03178 07335,58.01146,-5.33327,38,2025-11-04,_DSC0621-1.jpg
21,Ruin 47," Row of houses, western of two middle ones",Polglass,NC 03135 07379,58.01184,-5.33403,37,2025-11-04,_DSC0627-1.jpg
22,Enclosure 06,"Sheepfold, largest and most complex on the peninsula",Badentarbet,NC 01190 09686,58.03166,-5.36883,7,2025-11-04,_DSC0638-1.jpg
23,Beach Modifications 02,"Loch of Reiff outflow stream, retaining wall",Reiff,NB 96445 14441,58.07214,-5.45315,-2,2025-11-04,_DSC0660-1-3.jpg
24,Enclosure 05,"Sheepfold, Raa",Achnahaird,NC 01911 12587,58.05799,-5.35908,10,2025-11-04,_DSC0672-1.jpg
25,Ruin 52,Outline of possible building on the shore,Reiff,NB 96594 14380,58.07166,-5.45058,8,2025-12-05,_DSC0996-1.jpg
26,Ruin 49,"Outline of possible building on the shore, by the ""parliament"" rock",Reiff,NB 96576 14399,58.07182,-5.45090,9,2025-12-05,_DSC0998-1.jpg
27,Enclosure 08,Enclosure on the west side of Reiff Bay,Reiff,NB 96341 14394,58.07167,-5.45486,7,2025-12-05,_DSC1002-1.jpg
28,Ruin 35,Lookout shelter? On the cliffs at Reiff,Reiff,NB 96281 14999,58.07706,-5.45640,18,2025-12-05,_DSC1014-1.jpg
29,Lazy Beds 01,"Lazy beds by Loch of Reiff, loch retaining wall and enclosure behind",Reiff,NB 96490 14915,58.07641,-5.45279,11,2025-12-05,_DSC1017-1.jpg
